review_date,review_title,review_text,review_star,review_helpful,page,Sentiment,Product_defect_suggestion,Theme,Assigned
"Reviewed in the United States on November 12, 2021","







  
  
    Don't pay for premium
  
","









  
  
    
  It's okay but not really great and the selection is subpar.If you already have Neflix, Hulu, HBOmax and or prime you already have enough...

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",38,negative,no,poor selection,Will
"Reviewed in the United States on March 17, 2022","







  
  
    Free version sucks
  
","









  
  
    
  Unless you pay for premium, don't waste your time

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",38,negative,yes,free version is not good,Will
"Reviewed in the United States on January 13, 2022","







  
  
    Enjoyable I
  
","









  
  
    
  I like that it not only has new programs it also has some of the older shows as well.

  
",5.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",1,positive,no,good selection,Will
"Reviewed in the United States on April 28, 2022","







  
  
    Terrible
  
","









  
  
    
  First it's very slow to download and install. That's after it asks for lots of information. It has lots of commercials and then after a couple of shows it requires you to buy a paid subscription. Deleted it!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",1,negative,yes,bad user interface,Will
"Reviewed in the United States on December 6, 2021","







  
  
    Yellowstone!
  
","









  
  
    
  We mainly use this to stream Yellowstop but good content.

  
",5.0 out of 5 stars,"
  7 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content,Will
"Reviewed in the United States on March 12, 2022","







  
  
    Great streaming app
  
","









  
  
    
  Great choice of shows

  
",5.0 out of 5 stars,"
  7 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content,Will
"Reviewed in the United States on March 10, 2022","







  
  
    Premier League Soccer
  
","









  
  
    
  I watch soccer and its great.  I am annoyed at the 24 hour delay of replays, but I'll get over that.

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",1,positive,yes,good for sports,Will
"Reviewed in the United States on February 23, 2022","







  
  
    My kids love it 😍
  
","









  
  
    
  It’s great for price

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",1,positive,no,good for kids and good price,Will
"Reviewed in the United States on March 7, 2022","







  
  
    Awesome!
  
","









  
  
    
  I love it!

  
",5.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",1,positive,no,none,Will
"Reviewed in the United States on November 17, 2021","







  
  
    Love it!!!!
  
","









  
  
    
  I absolutely love this stream. It has all my older favorites on it. It's the only place I found that has The Munsters.

  
",5.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content,Will
"Reviewed in the United States on March 5, 2022","







  
  
    I have mixed feelings
  
","









  
  
    
  It's okay

  
",3.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",1,neutral,no,none,Will
"Reviewed in the United States on February 3, 2022","







  
  
    Great app
  
","









  
  
    
  Great shows

  
",5.0 out of 5 stars,"
  3 people found this helpful
      
          Helpful
      
  ",1,positive,no,good content,Will
"Reviewed in the United States on January 2, 2022","







  
  
    Want to cancel
  
","









  
  
    
  I want to cancel too bills

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,no,none,Will
"Reviewed in the United States on August 29, 2021","







  
  
    Nothing is free. Typical bait and switch
  
","









  
  
    
  If I wanted  a free app with nothing but premium shows, I would stick with Prime

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,yes,bait and switch,Will
"Reviewed in the United States on August 13, 2021","







  
  
    oh god why
  
","









  
  
    
  this is proof that if god actually existed, he lives for our torment

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,no,none,Will
"Reviewed in the United States on August 25, 2021","







  
  
    Promoted as free but then wanted $$$
  
","









  
  
    
  The show I wanted to watch said ""watch free on peacock"" but when I went to watch, they charge by episode.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,yes,bait and switch,Will
"Reviewed in the United States on September 20, 2021","







  
  
    Fantastic easy-to-use
  
","









  
  
    
  I've only been able to use it for about a week but so far I love it

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,positive,no,good user interface,Will
"Reviewed in the United States on August 14, 2021","







  
  
    You can see shows that you haven't seen in years I like it and shows that we're on my
  
","









  
  
    
  I like it shows I haven't seen in years.  When my DVR Broke I was able to see the shows that I'd missed.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,positive,no,good selection,Will
"Reviewed in the United States on March 2, 2022","







  
  
    Need to cancel this!!!!!
  
","









  
  
    
  Need to cancel this, getting tons of scams since I logged into this. I can't seem to find how to cancel?

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,yes,hard to cancel,Will
"Reviewed in the United States on March 6, 2022","







  
  
    If I knew this was available I would gad signed up a long time ago.
  
","









  
  
    
  This app has great movies and shows that are free that I would pay money for if gad to. But this app gives me more than I expected.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,positive,no,good selection,Will
"Reviewed in the United States on December 26, 2021","







  
  
    Clear pic
  
","









  
  
    
  Love this tv app

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,positive,no,none,Will
"Reviewed in the United States on August 4, 2021","







  
  
    Live events freezing  or lose connections
  
","









  
  
    
  It has a bad connection during live events all the time

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",40,negative,yes,app freezes during live events,Will
"Reviewed in the United States on April 27, 2022","







  
  
    Awesome
  
","









  
  
    
  Awesome

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,positive,no,none,Will
"Reviewed in the United States on February 3, 2022","







  
  
    Pretty good programs
  
","









  
  
    
  Peacock does offer several good programs and movies. Add to that it's Free and w well worth the download.

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,positive,no,good selection,Will
"Reviewed in the United States on December 5, 2021","







  
  
    Harry Potter
  
","









  
  
    
  We love peacock Tv because it’s one of the few apps that has all Harry Potter films!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,positive,no,good selection,Will
"Reviewed in the United States on October 5, 2021","







  
  
    I like it.
  
","









  
  
    
  Great Streaming app.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,positive,no,none,Will
"Reviewed in the United States on September 12, 2021","







  
  
    Not worth it
  
","









  
  
    
  Not worth the money

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,negative,no,too expensive,Will
"Reviewed in the United States on November 16, 2021","







  
  
    :(
  
","









  
  
    
  😒😒😒

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,negative,no,none,Will
"Reviewed in the United States on August 23, 2021","







  
  
    If you have cable or any T.V provider then it’s perfect for you, but for us without T.V
  
","









  
  
    
  I’ve had Peacock back when I had cable T.V so it was good because it had all the movies and tv shows from entertainment channels all in one streaming service. So if you have T.V go for it. Then again if you don’t then it’s useless, after switching to only internet I lost that access and it’s not worth paying that monthly subscription to get some what good content. Plus when I had access I didn’t get access to everything in their library so I guess it sucks all around.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",17,negative,yes,good when paired with cable tv subscription,Will
"Reviewed in the United States on November 23, 2021","







  
  
    Has my fav shows but…
  
","









  
  
    
  Picture is grainy, I don’t like the fact that there is a monthly charge for excluding commercials on top of the monthly charge for the app.

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,negative,yes,poor quality video and too expensive,Will
"Reviewed in the United States on November 30, 2021","







  
  
    Misleading
  
","









  
  
    
  Downloaded Peacock because Firestick said I already ""owned"" it.  Started watching a series and after the initial episode, Peacock wants a subscription.  Uninstalled!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,negative,yes,bait and switch,Will
"Reviewed in the United States on September 3, 2021","







  
  
    NEVER WORKED FOR ME
  
","









  
  
    
  WHAT A RIP OFF  !!!!!!!!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",17,negative,yes,app doesn't work,Will
"Reviewed in the United States on August 28, 2021","







  
  
    Worst streaming service available. DO NOT SUBSCRIBE!
  
","









  
  
    
  This would have been an ok service in 2004. Compared to every other service, peacock is terrible. Save yourself the trouble and do not subscribe.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,negative,no,worse streaming service than competitors,Will
"Reviewed in the United States on December 30, 2021","







  
  
    All the best videos,live sports,movies same day as theater,pay per views, and Wwe!!! Simply the best
  
","









  
  
    
  All the best videos,live sports,movies same day as theater,pay per views, and Wwe!!! Simply the best!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,positive,no,good selection,Will
"Reviewed in the United States on April 28, 2022","







  
  
    Don't want Peacock anymore
  
","









  
  
    
  I wanted to see NBC Olympics.  Cancelled the monthly pymt ad of 6/2/22. No longer use it. Don't take pymt from acct anymore please

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,negative,yes,only wanted for the olympics,Will
"Reviewed in the United States on September 14, 2021","







  
  
    Wow
  
","









  
  
    
  I wanted to watch the game nd this is by far a great investment  cant beat.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,positive,no,good for sports,Will
"Reviewed in the United States on January 13, 2022","







  
  
    Worst
  
","









  
  
    
  They don’t have nothing worthy of streaming or paying I think 14.99 for it.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,negative,no,bad selection,Will
"Reviewed in the United States on December 25, 2021","







  
  
    Peacock tv
  
","









  
  
    
  Peacock tv works great. Picture is also great !! Saving me a ton of money compared to my cable bill !!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,positive,no,better than cable,Will
"Reviewed in the United States on November 21, 2021","







  
  
    WWE Network is Not good.
  
","









  
  
    
  Good luck using WWE Network. No pause or rewind. No option to start from beginning. No option to search for specific matches. Etc.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,negative,yes,no controls for live events,Will
"Reviewed in the United States on November 20, 2021","







  
  
    Great app
  
","









  
  
    
  Great

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,positive,no,none,Will
"Reviewed in the United States on August 20, 2021","







  
  
    Could never get log in
  
","









  
  
    
  Very unfriendly interface! Hard to find what you what you want to watch by the time you do you do not want watch it

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,negative,yes,bad user interface takes too long to find content,Will
"Reviewed in the United States on October 11, 2021","







  
  
    Lost
  
","









  
  
    
  Yes it wont allow me to order it from my app market... I have a amazon kindle... Any suggestions how to make this download work??

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",56,negative,yes,doesn't work on kindle,Will
"Reviewed in the United States on January 9, 2022","







  
  
    Great app
  
","









  
  
    
  Great app great channels

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,positive,no,none,Will
"Reviewed in the United States on October 16, 2021","







  
  
    Nope.
  
","









  
  
    
  Sorry, worst of all my streaming apps, CANCEL.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",18,negative,no,worse streaming service,Will
"Reviewed in the United States on August 10, 2021","







  
  
    Good choices
  
","









  
  
    
  A wide variety of programs

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",18,positive,no,good selection,Will
"Reviewed in the United States on September 17, 2021","







  
  
    Useless
  
","









  
  
    
  You pay (nothing) for what you get.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,negative,no,the app is useless,Will
"Reviewed in the United States on March 13, 2022","







  
  
    As advertised
  
","









  
  
    
  As advertised

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,positive,no,none,Will
"Reviewed in the United States on December 24, 2021","







  
  
    Ok
  
","









  
  
    
  Not happy

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,negative,no,none,Will
"Reviewed in the United States on January 18, 2022","







  
  
    I like!!!!!
  
","









  
  
    
  I love the selection!!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,positive,no,good selection,Will
"Reviewed in the United States on October 3, 2021","







  
  
    Great selection
  
","









  
  
    
  Peacock has a great selection of movies. It's a bonus that it was free. Definitely recommend

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,positive,no,good selection and price,Will
"Reviewed in the United States on December 28, 2021","







  
  
    Easy to install!!
  
","









  
  
    
  More football(soccer) Can't wait!!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,positive,no,good for sports and easy to use,Will
"Reviewed in the United States on January 6, 2022","







  
  
    TERRIBLY SLOOOOOOOOWWWWW
  
","









  
  
    
  THIS SERVICE SUCKS!! Not worth it even if it was FREE. I have wasted so much time waiting for shows to load. Super dissatisfied. Too bad the bravo shows I love have switched over to this streaming service.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",18,negative,yes,long load times,Will
"Reviewed in the United States on December 15, 2021","







  
  
    Interesting and old favorites, plus all the new.
  
","









  
  
    
  Has a nice variety of shows. Very interesting new ones. Great streaming quality.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,no,good selection and streaming quality,Will
"Reviewed in the United States on September 18, 2021","







  
  
    NOT CLEAR ENOUGH
  
","









  
  
    
  IT'S OKAY NEED BETTER PICTURE

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,negative,yes,bad streaming quality,Will
"Reviewed in the United States on September 18, 2021","







  
  
    Good
  
","









  
  
    
  But I don't think we want it anymore

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,no,hard to cancel,Will
"Reviewed in the United States on March 4, 2022","







  
  
    Good App, but not for me.
  
","









  
  
    
  Not much time to watch TV.  On the question how to Cancel: go to ""Your subscriptions"", then ""Actions"", and click ""Stop automatic renewal""

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,yes,hard to cancel,Will
"Reviewed in the United States on December 10, 2021","







  
  
    You have to download!!
  
","









  
  
    
  For Peacock being free, it’s amazing the shows and movies you can stream from it to binge. Recommend!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,no,good selection,Will
"Reviewed in the United States on December 9, 2021","







  
  
    Great entertainment package!
  
","









  
  
    
  A great TV package with good movies, series and sitcoms. No charge with Xfinity streaming.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,no,good when paired with cable tv subscription,Will
"Reviewed in the United States on August 13, 2021","







  
  
    Better shows for better price
  
","









  
  
    
  I actually got peacock so I can watch Mr Mercedes trilogy by Stephen King and I decided to keep it. Great value.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,no,good selection and value,Will
"Reviewed in the United States on January 24, 2022","







  
  
    App provides a plethora of NBC programs to watch.
  
","









  
  
    
  I used the app to watch YELLOWSTONE series.

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,no,good selection,Will
"Reviewed in the United States on September 6, 2021","







  
  
    Not Free
  
","









  
  
    
  Peacock claims its free but you have to pay for pretty much everything you want to watch.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,negative,yes,bait and switch,Will
"Reviewed in the United States on October 7, 2021","







  
  
    All shows and sports
  
","









  
  
    
  Has games I live come on NFL

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",23,positive,no,good for sports,Will
"Reviewed in the United States on January 12, 2022","







  
  
    Cancel subscription
  
","









  
  
    
  Cancel subscription

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,negative,yes,hard to cancel,Will
"Reviewed in the United States on October 27, 2021","







  
  
    barely functional
  
","









  
  
    
  hangs and drops repeatedly

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,negative,yes,app crashes often,Will
"Reviewed in the United States on September 19, 2021","







  
  
    Love it.
  
","









  
  
    
  Love the series and movies

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,positive,no,good selection,Will
"Reviewed in the United States on February 19, 2022","







  
  
    Very g9od
  
","









  
  
    
  It very good

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,positive,no,none,Will
"Reviewed in the United States on January 6, 2022","







  
  
    Perfect for watching Yellowstone!
  
","









  
  
    
  Easy to use.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,positive,no,good user interface,Will
"Reviewed in the United States on January 19, 2022","







  
  
    won't load, have tried many times, no more.
  
","









  
  
    
  won't load, tried too many times, not worth the aggravation

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",28,negative,yes,app doesn't work,Will
"Reviewed in the United States on September 18, 2021","







  
  
    Lousy job by NBC.
  
","









  
  
    
  Only purchased the app to watch Notre Dame games. No rewind or freeze available. Goofy delay fills.Bad job by NBC. Just a money grab.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,negative,yes,no controls for live events,Will
"Reviewed in the United States on February 25, 2022","







  
  
    Better than I thought!
  
","









  
  
    
  This definitely is worth the 4.99/month.  Has all kinds of entertainment options even has exciting premieres only on peacock or in theaters. Its great!!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,positive,no,great value for the price,Will
"Reviewed in the United States on March 5, 2022","







  
  
    Not free
  
","









  
  
    
  There are a few shows that I actually wanted to watch but there is a additional charge. If I am already paying a prime membership why do I need to pay extra for this.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,negative,yes,bait and switch,Will
"Reviewed in the United States on February 9, 2022","







  
  
    Not having long periods before next episode
  
","









  
  
    
  Like the show's only thing is that flying pictures when waiting for next show, can send someone into a headache and dizzy watching it.Most times I just change it move on to different Chanel

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",28,neutral,no,none,Will
"Reviewed in the United States on March 17, 2022","







  
  
    👍
  
","









  
  
    
  👍👍👍

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",41,neutral,no,none,Will
"Reviewed in the United States on September 5, 2021","







  
  
    WWE
  
","









  
  
    
  Vince sold the network for profit. On the Network you could go into the matches of the PPV but anymore.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",41,negative,yes,WWE matches are worse,Will
"Reviewed in the United States on February 22, 2022","







  
  
    Difficult to use
  
","









  
  
    
  I find it difficult to use. I don't see a guide to help you find what you are looking for.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",41,negative,yes,difficult user interface,Will
"Reviewed in the United States on February 18, 2022","







  
  
    Peacock is great for Olympics but not much else
  
","









  
  
    
  We bought the plus WITH commercials thinking it would be like normal broadcast TV commercials but it is not 150 seconds per break with last 60 seconds interrupting sporting events.  Totally not desirable and it's the same commercials each time, you begin to actually hate the products.  When nbc mess's up you see a black screen saying will be back shortly when there should have been a commercial.  Do not order peacock with commercials instead order peacock plus ad free.  It's the only version doable.  It is not totally ad free you get some 30 second commercials at random times even during the action.  Probably the control room not paying attention.  It really does feel like amateur hour with replays being right above highlights of the same event so it's possible to see in the headlines who won before you watch it.  But on a positive note the replays are fantastic much better than cobbled together nbc primetime where it's you get what they think you want.  Also the replays tend to have far less drama and no politics.  Amazon allowed us to change our subscription to ad free which is the way to go.  We will be cancelling subscription after Olympics, we could not find anything else to watch.  Very limited content.

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",41,negative,yes,commercials interrupt live events not on comercial breaks,Will
"Reviewed in the United States on December 30, 2021","







  
  
    I Use it to watch NBC programs
  
","









  
  
    
  I I like it to watch NBC programs

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",41,neutral,no,none,Will
"Reviewed in the United States on November 27, 2021","







  
  
    Super slow
  
","









  
  
    
  I have blazing fast internet .This worked like dial up internet. I sent free Peacock Comcast box back

  
",1.0 out of 5 stars,"
  4 people found this helpful
      
          Helpful
      
  ",41,negative,yes,app is slow,Will
"Reviewed in the United States on September 18, 2021","







  
  
    Fun for streaming oldies
  
","









  
  
    
  After your used to streaming without commercials its hard to go back. But not worth the cost to go commercial free for the content. Parental controls are very simplistic

  
",3.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",41,negative,yes,parent controls don't work well enough,Will
"Reviewed in the United States on September 18, 2021","







  
  
    Horrible streaming service
  
","









  
  
    
  Let's see. Is there enough space to list the dislikes. Commercials at WRONG places. Commercials interrupt the show and, get this, deletes some of the show. Bad audio, picture so so. Commercial after commercial, entirely too many and always at a bad place in the show. How much revenue are they trying to steal from advertisers? Suggest to try something else. Even the free stuff like Pluto has a better streaming experience.

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",41,negative,yes,commercials interrupt the show and not on commercial breaks,Will
"Reviewed in the United States on September 1, 2021","







  
  
    Don't know what this is
  
","









  
  
    
  Don't know what this is

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",41,negative,none,none,Will
"Reviewed in the United States on February 28, 2022","







  
  
    I am not able to watch anything!
  
","









  
  
    
  I am not able to watch anything!

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",41,negative,none,app doesn't work,Will
"Reviewed in the United States on October 20, 2021","







  
  
    Good streaming site
  
","









  
  
    
  Subscribed to watch Dr. death but enjoying other shows on there. Wish it had all of the Cowboys games

  
",4.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,positive,yes,good content,Will
"Reviewed in the United States on September 23, 2021","







  
  
    Get ready to pay for every tiny thing.
  
","









  
  
    
  They nickel and dime you to death. While you can buy premium, you have no idea all the shows it includes (not everything). On top of “premium” shows, you still have to pay for current ones or wait at least a day to watch. Get Hulu and save your money.

  
",1.0 out of 5 stars,"
  17 people found this helpful
      
          Helpful
      
  ",14,negative,no,too expensive,Will
"Reviewed in the United States on August 29, 2021","







  
  
    Peacock TV
  
","









  
  
    
  Underwhelmed

  
",2.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,negative,no,none,Will
"Reviewed in the United States on January 9, 2022","







  
  
    Excellent
  
","









  
  
    
  Good app

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,positive,no,none,Will
"Reviewed in the United States on October 19, 2021","







  
  
    What the ?
  
","









  
  
    
  Do not buy in to the scam

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,negative,no,none,Will
"Reviewed in the United States on December 2, 2021","







  
  
    I can't login on peacock account
  
","









  
  
    
  I can't login in to my account nor change the password on my Samsung phone nor the televisionPlease help

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,neutral,no,app doesn't work,Will
"Reviewed in the United States on September 7, 2021","







  
  
    What I like
  
","









  
  
    
  I didn't use it

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,neutral,no,none,Will
"Reviewed in the United States on March 6, 2022","







  
  
    Enjoying content so far!
  
","









  
  
    
  Bought this to watch the Yellowstone series, and so far I'm not disappointed.  When I finish that, there are several other shows that look good.

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,positive,no,good content,Will
"Reviewed in the United States on November 3, 2021","







  
  
    Great Becasue It's FREE
  
","









  
  
    
  Has most of the shows other apps have with a twist.

  
",5.0 out of 5 stars,"
  6 people found this helpful
      
          Helpful
      
  ",14,neutral,no,none,Will
"Reviewed in the United States on October 6, 2021","







  
  
    Better than hulu
  
","









  
  
    
  I don’t often pay for streaming services but peacock has a lot of quality variety to choose from at a great price point.

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",14,positive,no,good content,Will
"Reviewed in the United States on September 11, 2021","







  
  
    Refreshing
  
","









  
  
    
  It's nice to watch good shows without a bunch of nudity and foul language.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",57,positive,no,good for kids and good price,Will
